file_path,file_path_processed,speaker_id,class,gender,location,notes
../data/data_raw/native05_64.wav,../data/data_preprocessed/native05_64.wav,native05,native,F,cafe,
../data/data_raw/native05_68.wav,../data/data_preprocessed/native05_68.wav,native05,native,F,cafe,
../data/data_raw/native05_95.wav,../data/data_preprocessed/native05_95.wav,native05,native,F,cafe,
../data/data_raw/native06_52.wav,../data/data_preprocessed/native06_52.wav,native06,native,M,indoor,
../data/data_raw/native06_63.wav,../data/data_preprocessed/native06_63.wav,native06,native,M,indoor,
../data/data_raw/native06_64.wav,../data/data_preprocessed/native06_64.wav,native06,native,M,indoor,
../data/data_raw/native06_68.wav,../data/data_preprocessed/native06_68.wav,native06,native,M,indoor,
../data/data_raw/native06_95.wav,../data/data_preprocessed/native06_95.wav,native06,native,M,indoor,
../data/data_raw/learner01_52.wav,../data/data_preprocessed/learner01_52.wav,learner01,learner,M,indoor,N1
../data/data_raw/learner01_63.wav,../data/data_preprocessed/learner01_63.wav,learner01,learner,M,indoor,N1
../data/data_raw/learner01_64.wav,../data/data_preprocessed/learner01_64.wav,learner01,learner,M,indoor,N1
../data/data_raw/learner01_68.wav,../data/data_preprocessed/learner01_68.wav,learner01,learner,M,indoor,N1
../data/data_raw/learner01_95.wav,../data/data_preprocessed/learner01_95.wav,learner01,learner,M,indoor,N1
../data/data_raw/learner02_52.wav,../data/data_preprocessed/learner02_52.wav,learner02,learner,M,indoor,N1
../data/data_raw/learner02_63.wav,../data/data_preprocessed/learner02_63.wav,learner02,learner,M,indoor,N1
../data/data_raw/learner02_64.wav,../data/data_preprocessed/learner02_64.wav,learner02,learner,M,indoor,N1
../data/data_raw/learner02_68.wav,../data/data_preprocessed/learner02_68.wav,learner02,learner,M,indoor,N1
../data/data_raw/learner02_95.wav,../data/data_preprocessed/learner02_95.wav,learner02,learner,M,indoor,N1
../data/data_raw/learner03_52.wav,../data/data_preprocessed/learner03_52.wav,learner03,learner,M,indoor,N2
../data/data_raw/learner03_63.wav,../data/data_preprocessed/learner03_63.wav,learner03,learner,M,indoor,N2
../data/data_raw/learner03_64.wav,../data/data_preprocessed/learner03_64.wav,learner03,learner,M,indoor,N2
../data/data_raw/learner03_68.wav,../data/data_preprocessed/learner03_68.wav,learner03,learner,M,indoor,N2
../data/data_raw/learner03_95.wav,../data/data_preprocessed/learner03_95.wav,learner03,learner,M,indoor,N2
../data/data_raw/learner04_52.wav,../data/data_preprocessed/learner04_52.wav,learner04,learner,M,indoor,N2
../data/data_raw/learner04_63.wav,../data/data_preprocessed/learner04_63.wav,learner04,learner,M,indoor,N2
../data/data_raw/learner04_64.wav,../data/data_preprocessed/learner04_64.wav,learner04,learner,M,indoor,N2
../data/data_raw/learner04_68.wav,../data/data_preprocessed/learner04_68.wav,learner04,learner,M,indoor,N2
../data/data_raw/learner04_95.wav,../data/data_preprocessed/learner04_95.wav,learner04,learner,M,indoor,N2
../data/data_raw/learner05_52.wav,../data/data_preprocessed/learner05_52.wav,learner05,learner,F,indoor,N3
../data/data_raw/learner05_63.wav,../data/data_preprocessed/learner05_63.wav,learner05,learner,F,indoor,N3
../data/data_raw/learner05_64.wav,../data/data_preprocessed/learner05_64.wav,learner05,learner,F,indoor,N3
../data/data_raw/learner05_68.wav,../data/data_preprocessed/learner05_68.wav,learner05,learner,F,indoor,N3
../data/data_raw/learner05_95.wav,../data/data_preprocessed/learner05_95.wav,learner05,learner,F,indoor,N3
../data/data_raw/learner06_52.wav,../data/data_preprocessed/learner06_52.wav,learner06,learner,M,indoor,N4
../data/data_raw/learner06_63.wav,../data/data_preprocessed/learner06_63.wav,learner06,learner,M,indoor,N4
../data/data_raw/learner06_64.wav,../data/data_preprocessed/learner06_64.wav,learner06,learner,M,indoor,N4
../data/data_raw/learner06_68.wav,../data/data_preprocessed/learner06_68.wav,learner06,learner,M,indoor,N4
../data/data_raw/learner06_95.wav,../data/data_preprocessed/learner06_95.wav,learner06,learner,M,indoor,N4
